file,field,uniqueness_ratio,coverage,unique_values,total_values
Other-20250920.json,Identifier,1.0,1.0,500,500
Other-20250920.json,Identifier.UPI,1.0,1.0,500,500
Other-20250920.json,Attributes,0.998,1.0,499,500
Other-20250920.json,Attributes.UnderlyingAssetClass,0.968,1.0,484,500
Commodities-20250920.json,Attributes,1.0,1.0,500,500
Commodities-20250920.json,Identifier,1.0,1.0,500,500
Commodities-20250920.json,Identifier.UPI,1.0,1.0,500,500
Other-20250913.json,Identifier,1.0,1.0,500,500
Other-20250913.json,Identifier.UPI,1.0,1.0,500,500
Other-20250913.json,Attributes,0.998,1.0,499,500
Other-20250913.json,Attributes.UnderlyingAssetClass,0.968,1.0,484,500
Foreign_Exchange-20250920.json,Identifier,1.0,1.0,500,500
Foreign_Exchange-20250920.json,Identifier.UPI,1.0,1.0,500,500
Credit-20250920.json,Attributes,1.0,1.0,500,500
Credit-20250920.json,Identifier,1.0,1.0,500,500
Credit-20250920.json,Identifier.UPI,1.0,1.0,500,500
Credit-20250920.json,Attributes.Underlying,0.968,1.0,484,500
Rates-20250920.json,Identifier,1.0,1.0,500,500
Rates-20250920.json,Identifier.UPI,1.0,1.0,500,500
Rates-20250920.json,Attributes,0.998,1.0,499,500
Equity-20250920.json,Derived,1.0,1.0,500,500
Equity-20250920.json,Identifier,1.0,1.0,500,500
Equity-20250920.json,Identifier.UPI,1.0,1.0,500,500
Equity-20250920.json,Attributes,0.986,1.0,493,500
